uid,nombre,nacimiento,correo,nacionalidad
0,Violeta Nayeli Longoria,1963-01-11,vloera@gmail.com,COLOMBIANA
1,Adela Elvira Estrada Carrillo,1952-03-02,ocollado@hotmail.com,IRLANDESA
2,Sessa Jaqueline Zavala,2004-07-21,espartacopizarro@gmail.com,MALTESA
3,Leticia Asunción Alcala Cabrera,2013-04-13,mendozajulio@hotmail.com,LIBANESA
4,Ing. Tania Aparicio,1950-09-27,valenzuelajudith@yahoo.com,TAILANDESA
5,Sr(a). Fernando Cantú,1951-12-13,klomeli@hotmail.com,DE DJIBOUTI
6,Lilia Verónica Almaraz,1957-02-15,rochaluis-miguel@gmail.com,GRIEGA
7,Hilda Israel Ordóñez Rivero,2010-10-23,elisa33@hotmail.com,ETIOPE
8,Gregorio Arcelia Gastélum Monroy,1999-02-21,jeronimo77@yahoo.com,CHINA
9,Víctor Fernando Lara Ulibarri,1952-03-29,penaamador@yahoo.com,PERUANA
10,Concepción Bruno Vallejo,2002-08-20,jimenezmartha@gmail.com,BAHAMEÑA
11,Ing. Gabriel Valle,2015-07-23,angelicarolon@yahoo.com,ALEMANA
12,Mtro. Felipe Batista,1997-08-15,david58@hotmail.com,MONGOLESA
13,Dr. Yolanda Carreón,1997-03-16,jleon@gmail.com,BULGARA
14,Dr. Virginia Valdés,1993-09-22,bduran@hotmail.com,MALTESA
15,Jaqueline Rico,2017-03-13,dmena@hotmail.com,COLOMBIANA
16,Lic. Dalia Hernandes,1954-09-02,mdelgadillo@hotmail.com,SAMOANA
17,Mariano Robledo Saavedra,1955-12-03,mrobledo@yahoo.com,DANESA
18,Ing. Noemí Barajas,1990-01-17,obrito@yahoo.com,DEL QATAR
19,Aldonza Casares Castillo,1954-10-27,hermelinda59@hotmail.com,AMERICANA
20,Soledad Esteban Henríquez,1971-04-13,rocioesparza@hotmail.com,PAPUENSE
21,Tomás Trujillo,2000-10-03,alejandroalcala@yahoo.com,SUIZA
22,Pedro Sáenz Quezada,1970-03-22,hidalgomaria-jose@gmail.com,REINO UNIDO(DEPEN. TET. BRIT.)
23,Dr. Aldo Corona,1982-08-20,karinaarevalo@gmail.com,TANZANIANA
